,datetime,load
0,2016-01-01 00:00:00,7192
1,2016-01-01 00:30:00,7041
2,2016-01-01 01:00:00,6811
3,2016-01-01 01:30:00,6502
4,2016-01-01 02:00:00,6203
5,2016-01-01 02:30:00,6012
6,2016-01-01 03:00:00,5884
7,2016-01-01 03:30:00,5797
8,2016-01-01 04:00:00,5760
9,2016-01-01 04:30:00,5762
10,2016-01-01 05:00:00,5699
11,2016-01-01 05:30:00,5728
12,2016-01-01 06:00:00,5778
13,2016-01-01 06:30:00,5880
14,2016-01-01 07:00:00,6010
15,2016-01-01 07:30:00,6188
16,2016-01-01 08:00:00,6345
17,2016-01-01 08:30:00,6560
18,2016-01-01 09:00:00,6684
19,2016-01-01 09:30:00,6794
20,2016-01-01 10:00:00,6908
21,2016-01-01 10:30:00,6959
22,2016-01-01 11:00:00,7033
23,2016-01-01 11:30:00,7096
24,2016-01-01 12:00:00,7096
25,2016-01-01 12:30:00,7146
26,2016-01-01 13:00:00,7220
27,2016-01-01 13:30:00,7273
28,2016-01-01 14:00:00,7366
29,2016-01-01 14:30:00,7440
30,2016-01-01 15:00:00,7538
31,2016-01-01 15:30:00,7672
32,2016-01-01 16:00:00,7783
33,2016-01-01 16:30:00,7905
34,2016-01-01 17:00:00,7975
35,2016-01-01 17:30:00,7955
36,2016-01-01 18:00:00,7914
37,2016-01-01 18:30:00,7791
38,2016-01-01 19:00:00,7658
39,2016-01-01 19:30:00,7635
40,2016-01-01 20:00:00,7677
41,2016-01-01 20:30:00,7581
42,2016-01-01 21:00:00,7444
43,2016-01-01 21:30:00,7403
44,2016-01-01 22:00:00,7319
45,2016-01-01 22:30:00,7266
46,2016-01-01 23:00:00,7125
47,2016-01-01 23:30:00,6917
48,2016-01-02 00:00:00,6765
49,2016-01-02 00:30:00,6634
50,2016-01-02 01:00:00,6442
51,2016-01-02 01:30:00,6179
52,2016-01-02 02:00:00,5986
53,2016-01-02 02:30:00,5843
54,2016-01-02 03:00:00,5760
55,2016-01-02 03:30:00,5709
56,2016-01-02 04:00:00,5693
57,2016-01-02 04:30:00,5737
58,2016-01-02 05:00:00,5738
59,2016-01-02 05:30:00,5801
60,2016-01-02 06:00:00,5917
61,2016-01-02 06:30:00,6104
62,2016-01-02 07:00:00,6333
63,2016-01-02 07:30:00,6596
64,2016-01-02 08:00:00,6847
65,2016-01-02 08:30:00,7092
66,2016-01-02 09:00:00,7170
67,2016-01-02 09:30:00,7178
68,2016-01-02 10:00:00,7149
69,2016-01-02 10:30:00,7178
70,2016-01-02 11:00:00,7202
71,2016-01-02 11:30:00,7163
72,2016-01-02 12:00:00,7158
73,2016-01-02 12:30:00,7187
74,2016-01-02 13:00:00,7237
75,2016-01-02 13:30:00,7242
76,2016-01-02 14:00:00,7250
77,2016-01-02 14:30:00,7261
78,2016-01-02 15:00:00,7336
79,2016-01-02 15:30:00,7378
80,2016-01-02 16:00:00,7411
81,2016-01-02 16:30:00,7407
82,2016-01-02 17:00:00,7502
83,2016-01-02 17:30:00,7541
84,2016-01-02 18:00:00,7539
85,2016-01-02 18:30:00,7501
86,2016-01-02 19:00:00,7437
87,2016-01-02 19:30:00,7460
88,2016-01-02 20:00:00,7498
89,2016-01-02 20:30:00,7395
90,2016-01-02 21:00:00,7262
91,2016-01-02 21:30:00,7197
92,2016-01-02 22:00:00,7124
93,2016-01-02 22:30:00,7075
94,2016-01-02 23:00:00,6908
95,2016-01-02 23:30:00,6726
96,2016-01-03 00:00:00,6578
97,2016-01-03 00:30:00,6429
98,2016-01-03 01:00:00,6256
